id,value,value,value,value,value
id_0,5.174960399,6.5770343,6.563884876,6.330933381,6.827072147
id_1,18.30621425,18.20785659,18.20843366,17.37923922,17.76709402
id_2,20.49121809,23.95822656,24.11192758,23.37352113,23.39849255
id_3,11.52394287,7.70698453,7.698398768,7.168778705,6.66989139
id_4,26.61605675,27.01620143,27.05324686,26.39373875,26.63047301
id_5,20.53134808,22.25566189,22.20267283,21.65064211,21.89420773
id_6,21.90655102,23.87635552,23.80252669,24.12660136,24.29645164
id_7,31.73646875,30.47412043,30.56460209,28.75495785,29.22990034
id_8,13.39167406,16.77305507,16.80441255,17.00932355,17.36473938
id_9,64.4564665,59.66320698,59.62842562,58.69865607,58.54320413
id_10,20.26456884,11.72050699,11.72358411,12.63469526,13.11340157
id_11,15.35857608,9.294689971,9.302114618,10.56127484,11.0380552
id_12,68.58947277,63.2403006,63.25184178,62.27355064,62.40720016
id_13,48.42811375,53.24587851,53.25524339,51.52768426,52.14084883
id_14,18.70233382,22.1910743,22.14179826,22.39384047,22.03767803
id_15,10.18859574,12.20189503,12.22625616,11.54112038,11.4584371
id_16,30.74036286,32.40359648,32.39871202,32.54041143,32.76785531
id_17,71.13221776,66.76614039,66.72583488,67.94479445,67.70880685
id_18,-4.130517391,-0.530689886,-0.521242269,1.844036345,1.838022074
id_19,18.23569402,17.13024598,17.12871201,16.94460908,17.03876562
id_20,38.57892228,41.7831789,41.82090539,41.65178962,41.76584947
id_21,71.31151973,72.10384848,72.17890451,71.65312739,71.80494862
id_22,7.410348163,9.301344045,9.275601325,9.877366783,9.575465532
id_23,18.71795533,17.84309698,17.88976945,18.61162652,18.68537264
id_24,14.93725026,14.75040822,14.73114252,13.62252737,13.38338627
id_25,36.71973669,37.78670639,37.95200081,37.75924764,37.31444421
id_26,17.96169701,14.54460136,14.66884511,13.42865362,13.01820209
id_27,75.78946287,69.62067419,67.24468537,72.23628121,74.46144575
id_28,12.30931025,7.220964386,7.213067899,7.485353646,7.460563852
id_29,56.29535174,55.41269767,55.45732561,55.84970226,56.06684498
id_30,25.11316087,24.50657671,24.4955458,24.22805672,23.7909435
id_31,4.610248674,8.495539904,8.552478563,7.701526088,8.214101185
id_32,2.483770555,2.511330216,2.530825843,2.307434613,3.131540934
id_33,24.75942226,18.67392184,18.66541838,18.45044,19.05678378
